"Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"PHYPA_000135","A9TWJ8","Pp3c1_3300","(1 of 5) PTHR24089:SF392 - MITOCHONDRIAL UNCOUPLING PROTEIN 4-RELATED","Uncharacterized protein","GO:0008272; GO:0015116; GO:0015117; GO:0015131; GO:0015140; GO:0015141; GO:0015297; GO:0015709; GO:0015729; GO:0016020; GO:0035435; GO:0071422; GO:0071423","malate transmembrane transport [GO:0071423]; oxaloacetate transport [GO:0015729]; phosphate ion transmembrane transport [GO:0035435]; succinate transmembrane transport [GO:0071422]; sulfate transport [GO:0008272]; thiosulfate transport [GO:0015709]","membrane [GO:0016020]","membrane [GO:0016020]; antiporter activity [GO:0015297]; malate transmembrane transporter activity [GO:0015140]; oxaloacetate transmembrane transporter activity [GO:0015131]; succinate transmembrane transporter activity [GO:0015141]; sulfate transmembrane transporter activity [GO:0015116]; thiosulfate transmembrane transporter activity [GO:0015117]; malate transmembrane transport [GO:0071423]; oxaloacetate transport [GO:0015729]; phosphate ion transmembrane transport [GO:0035435]; succinate transmembrane transport [GO:0071422]; sulfate transport [GO:0008272]; thiosulfate transport [GO:0015709]","antiporter activity [GO:0015297]; malate transmembrane transporter activity [GO:0015140]; oxaloacetate transmembrane transporter activity [GO:0015131]; succinate transmembrane transporter activity [GO:0015141]; sulfate transmembrane transporter activity [GO:0015116]; thiosulfate transmembrane transporter activity [GO:0015117]",4481.25712871245,-1.49278555871845,2.61260880265262e-12,3968.50141438616,-1.29930629703285,1.14263440110482e-05,6287.95476681625,-0.00339185689313441,0.999993322508911,2205.81128762005,-0.0212193683212048,0.938241074141709
"PHYPA_000138","A9S385","Pp3c1_3380","(1 of 3) PF01152 - Bacterial-like globin (Bac_globin)","Hemoglobin","GO:0001666; GO:0005344; GO:0019825; GO:0020037; GO:0046872","response to hypoxia [GO:0001666]","","heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; response to hypoxia [GO:0001666]","heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]",309.26280595902,-1.18477768577654,8.13275742344073e-05,231.82015525417,-1.03561049707757,7.48692148927815e-06,382.816263089847,-0.00778755484867051,0.999993322508911,160.457661968359,-0.133693648356339,0.563645649611299
"PHYPA_000173","A0A2K1L6U0","Pp3c1_4090","(1 of 2) 2.7.4.14//2.7.4.6 - UMP/CMP kinase / Uridine monophosphate-cytidine monophosphate phosphotransferase // Nucleoside-diphosphate kinase / Nucleoside diphosphokinase","adenylate kinase (EC 2.7.4.3)","GO:0004017; GO:0004127; GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0006207; GO:0006225; GO:0006468; GO:0033862; GO:0046705","'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; CDP biosynthetic process [GO:0046705]; protein phosphorylation [GO:0006468]; UDP biosynthetic process [GO:0006225]","cytoplasm [GO:0005737]; nucleus [GO:0005634]","cytoplasm [GO:0005737]; nucleus [GO:0005634]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; cytidylate kinase activity [GO:0004127]; UMP kinase activity [GO:0033862]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; CDP biosynthetic process [GO:0046705]; protein phosphorylation [GO:0006468]; UDP biosynthetic process [GO:0006225]","adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; cytidylate kinase activity [GO:0004127]; UMP kinase activity [GO:0033862]",184.895162305691,-1.14650738232357,7.5103094082846e-05,126.534359288154,-0.456607126594472,0.14741155055556,210.161373938858,-0.012925958616015,0.53390746295348,102.148736199144,-0.0371773465713485,0.887820136042453
"PHYPA_000184","A0A2K1L6Z5","Pp3c1_4270","(1 of 16) 1.6.5.5 - NADPH:quinone reductase / Zeta-crystallin","Enoyl reductase (ER) domain-containing protein","GO:0008270; GO:0016491","","","oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]","oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]",276.498549115788,-1.72087487707301,4.17350019680023e-17,300.95963726392,-1.22487664328024,1.93892530744611e-08,432.048268617285,0.000551784969708052,0.999993322508911,148.946890469006,0.332578894808146,0.157007281431176
"PHYPA_000255","A0A2K1L763","Pp3c1_6110","","Uncharacterized protein","","","","","",106.185825861648,-1.60007702083359,1.78989152944447e-09,76.2744468496752,-0.681503393453806,0.0623895074245794,132.611808169043,-0.0100263731607796,0.826332057340799,50.6340972191445,0.0135646481646621,0.960997136529866
"PHYPA_000304","A0A2K1L756","Pp3c1_6990","(1 of 2) 1.3.1.102 - 2-alkenal reductase (NADP(+)) / NADPH-dependent alkenal/one oxidoreductase","Enoyl reductase (ER) domain-containing protein","GO:0016628","","","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]",49.58077207654,-1.18842228254296,0.000791913628318801,62.5819216943121,-0.703446499646196,0.0438478392278082,77.7691538078765,0.00313473577791568,0.999993322508911,34.9720256047273,0.167081752902722,0.370894106061096
"PHYPA_000325","A9RZZ9","Pp3c1_7380","(1 of 2) PTHR11540:SF27 - MALATE DEHYDROGENASE, GLYOXYSOMAL-RELATED","Malate dehydrogenase (EC 1.1.1.37)","GO:0005737; GO:0006099; GO:0006108; GO:0030060","malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; L-malate dehydrogenase activity [GO:0030060]; malate metabolic process [GO:0006108]; tricarboxylic acid cycle [GO:0006099]","L-malate dehydrogenase activity [GO:0030060]",1682.51639671733,-1.26009408823085,4.73321406604099e-10,2124.60539100733,-0.631380152693461,0.0106876096795453,2556.0600425313,0.0042352955827105,0.999993322508911,1267.92297467043,0.69136986551843,0.000131727257482859
"PHYPA_000487","A9SYZ5","Pp3c1_10570","(1 of 4) PF02713 - Domain of unknown function DUF220 (DUF220)","DUF220 domain-containing protein","","","","","",334.791881988155,-1.42905706994234,2.12707304386721e-11,342.962276253341,-1.22118235582032,4.0459211033805e-07,495.984757190413,-0.000131878341573971,0.999993322508911,185.388224188442,0.109296935132544,0.651834689757977
"PHYPA_000760","A0A2K1L8H1","Pp3c1_17220","(1 of 6) PTHR19241:SF290 - ABC TRANSPORTER G FAMILY MEMBER 4-RELATED","ABC transporter domain-containing protein","GO:0005524; GO:0016020; GO:0016887; GO:0042626; GO:0055085; GO:0140359","transmembrane transport [GO:0055085]","membrane [GO:0016020]","membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; transmembrane transport [GO:0055085]","ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]",341.850092034953,-1.80488280947385,9.78611850602727e-09,381.918731611422,-2.63788591317029,6.04706871695511e-17,608.378998907929,0.00490128353222362,0.999993322508911,121.111886093452,-0.176734342069536,0.407876787674342
"PHYPA_000917","A0A2K1L8Z8","Pp3c1_20930","(1 of 2) PTHR11817:SF28 - PLASTIDIAL PYRUVATE KINASE 4, CHLOROPLASTIC","pyruvate kinase (EC 2.7.1.40)","GO:0000287; GO:0004743; GO:0005524; GO:0005737; GO:0006096; GO:0016301; GO:0016310; GO:0030955","glycolytic process [GO:0006096]; phosphorylation [GO:0016310]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]","ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]",521.443441643448,-1.9184180157701,2.38444054698184e-13,678.405389429701,-1.6352936455171,2.79049278910128e-13,945.782350803788,0.00919839922147389,0.999993322508911,263.390128051851,0.469812683805727,0.0654281727874459
