,gene,A1,B1,C1,A3,B3,C3
0,PHYPA_000001,420,285,337,454,258,344
1,PHYPA_000002,222,151,203,206,152,214
2,PHYPA_000003,296,260,219,361,242,213
3,PHYPA_000004,246,202,206,255,199,234
4,PHYPA_000005,0,0,0,0,0,0
5,PHYPA_000006,1218,613,1159,544,478,1066
6,PHYPA_000007,0,0,1,0,0,0
7,PHYPA_000008,2184,2486,1960,2179,1939,1789
8,PHYPA_000009,2367,1979,2333,2500,1628,1977
9,PHYPA_000010,1,0,1,0,0,0
10,PHYPA_000011,568,319,416,457,334,452
11,PHYPA_000012,78,86,56,76,57,85
12,PHYPA_000013,385,289,329,313,271,281
13,PHYPA_000014,186,90,128,138,88,124
14,PHYPA_000015,0,0,0,0,0,0
15,PHYPA_000016,0,0,0,0,0,0
16,PHYPA_000017,0,0,0,0,0,0
17,PHYPA_000018,0,0,0,0,0,0
18,PHYPA_000019,0,0,0,0,0,0
19,PHYPA_000020,0,0,0,0,0,0
20,PHYPA_000021,0,0,0,0,0,0
21,PHYPA_000022,0,0,0,0,0,0
22,PHYPA_000023,387,267,302,310,207,263
23,PHYPA_000024,0,2,0,0,1,0
24,PHYPA_000025,65,65,83,10,35,112
25,PHYPA_000026,0,0,0,0,0,0
26,PHYPA_000027,4991,4325,4213,3709,3391,3818
27,PHYPA_000028,6,3,2,0,0,4
28,PHYPA_000029,5985,1089,2429,2567,1225,1997
29,PHYPA_000030,36,115,247,11,28,100
30,PHYPA_000031,0,0,0,0,0,0
31,PHYPA_000032,0,0,0,0,0,0
32,PHYPA_000033,1040,959,744,1030,837,705
33,PHYPA_000034,775,411,634,587,417,544
34,PHYPA_000035,405,328,389,407,337,427
35,PHYPA_000036,44,38,35,63,37,29
36,PHYPA_000037,401,225,274,312,231,280
37,PHYPA_000038,208,137,172,139,106,189
38,PHYPA_000039,178,185,150,146,150,127
39,PHYPA_000040,21,16,9,19,8,18
40,PHYPA_000041,214,134,186,162,115,146
41,PHYPA_000042,868,428,595,396,440,502
42,PHYPA_000043,0,0,0,0,0,0
43,PHYPA_000044,1,0,1,0,0,0
44,PHYPA_000045,0,0,0,0,0,0
45,PHYPA_000046,571,381,476,493,367,410
46,PHYPA_000047,0,0,0,0,0,0
47,PHYPA_000048,380,227,323,328,247,286
48,PHYPA_000049,417,425,241,399,301,215
49,PHYPA_000050,144,114,105,127,101,74
50,PHYPA_000051,446,424,296,877,434,252
51,PHYPA_000052,2,3,8,1,4,7
52,PHYPA_000053,0,0,0,0,0,0
53,PHYPA_000054,0,0,0,0,0,0
54,PHYPA_000055,363,326,265,506,354,316
55,PHYPA_000056,544,407,456,555,374,423
56,PHYPA_000057,202,156,169,217,133,205
57,PHYPA_000058,393,496,383,373,390,368
58,PHYPA_000059,562,465,465,418,374,364
59,PHYPA_000060,208,118,171,189,156,171
60,PHYPA_000061,1,1,1,2,0,0
61,PHYPA_000062,586,420,483,447,437,445
62,PHYPA_000063,286,300,299,243,262,268
63,PHYPA_000064,3048,2611,2556,3674,2311,2342
64,PHYPA_000065,431,323,335,350,259,235
65,PHYPA_000066,404,281,458,269,325,411
