,gene,A3,B3,C3,A4,B4,C4
0,PHYPA_000001,454,258,344,236,220,226
1,PHYPA_000002,206,152,214,194,212,209
2,PHYPA_000003,361,242,213,188,186,196
3,PHYPA_000004,255,199,234,230,198,208
4,PHYPA_000005,0,0,0,0,0,1
5,PHYPA_000006,544,478,1066,878,813,924
6,PHYPA_000007,0,0,0,0,0,0
7,PHYPA_000008,2179,1939,1789,2264,1815,1620
8,PHYPA_000009,2500,1628,1977,1574,1263,1435
9,PHYPA_000010,0,0,0,0,0,0
10,PHYPA_000011,457,334,452,237,233,252
11,PHYPA_000012,76,57,85,88,64,106
12,PHYPA_000013,313,271,281,371,316,300
13,PHYPA_000014,138,88,124,86,61,108
14,PHYPA_000015,0,0,0,0,0,0
15,PHYPA_000016,0,0,0,0,0,0
16,PHYPA_000017,0,0,0,0,0,0
17,PHYPA_000018,0,0,0,0,0,0
18,PHYPA_000019,0,0,0,0,0,0
19,PHYPA_000020,0,0,0,0,0,0
20,PHYPA_000021,0,0,0,0,0,0
21,PHYPA_000022,0,0,0,0,0,0
22,PHYPA_000023,310,207,263,262,306,299
23,PHYPA_000024,0,1,0,0,0,1
24,PHYPA_000025,10,35,112,35,47,84
25,PHYPA_000026,0,0,0,0,0,0
26,PHYPA_000027,3709,3391,3818,3845,3679,3284
27,PHYPA_000028,0,0,4,3,2,1
28,PHYPA_000029,2567,1225,1997,1704,1952,1700
29,PHYPA_000030,11,28,100,22,40,88
30,PHYPA_000031,0,0,0,0,0,0
31,PHYPA_000032,0,0,0,0,0,0
32,PHYPA_000033,1030,837,705,719,822,979
33,PHYPA_000034,587,417,544,367,453,512
34,PHYPA_000035,407,337,427,406,397,415
35,PHYPA_000036,63,37,29,46,25,30
36,PHYPA_000037,312,231,280,264,269,278
37,PHYPA_000038,139,106,189,172,186,230
38,PHYPA_000039,146,150,127,158,138,170
39,PHYPA_000040,19,8,18,10,5,9
40,PHYPA_000041,162,115,146,125,137,160
41,PHYPA_000042,396,440,502,491,676,755
42,PHYPA_000043,0,0,0,0,0,0
43,PHYPA_000044,0,0,0,0,0,0
44,PHYPA_000045,0,0,0,0,0,0
45,PHYPA_000046,493,367,410,361,559,534
46,PHYPA_000047,0,0,0,0,0,0
