"a","Freq"
"ATP binding [GO:0005524]",2
"kinase activity [GO:0016301]",2
"magnesium ion binding [GO:0000287]",2
"potassium ion binding [GO:0030955]",2
"pyruvate kinase activity [GO:0004743]",2
"catechol oxidase activity [GO:0004097]",1
"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]",1
"glycosyltransferase activity [GO:0016757]",1
"metal ion binding [GO:0046872]",1
"protein dimerization activity [GO:0046983]",1
"RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",1
"UDP-glucosyltransferase activity [GO:0035251]",1
"UDP-glycosyltransferase activity [GO:0008194]",1
