"a","Freq"
"membrane [GO:0016020]",5
"plant-type cell wall [GO:0009505]",3
"cytoplasm [GO:0005737]",2
"extracellular region [GO:0005576]",2
"plasma membrane [GO:0005886]",2
"amyloplast [GO:0009501]",1
"cellular anatomical entity [GO:0110165]",1
"chloroplast [GO:0009507]",1
"chloroplast stroma [GO:0009570]",1
"chloroplast thylakoid membrane [GO:0009535]",1
"cyclin-dependent protein kinase holoenzyme complex [GO:0000307]",1
"cytosol [GO:0005829]",1
"extracellular space [GO:0005615]",1
"intracellular membrane-bounded organelle [GO:0043231]",1
"nucleus [GO:0005634]",1
"P-body [GO:0000932]",1
"vacuole [GO:0005773]",1
