"a","Freq"
"heme binding [GO:0020037]",4
"metal ion binding [GO:0046872]",4
"ATP binding [GO:0005524]",3
"lactoperoxidase activity [GO:0140825]",3
"peroxidase activity [GO:0004601]",3
"kinase activity [GO:0016301]",2
"magnesium ion binding [GO:0000287]",2
"potassium ion binding [GO:0030955]",2
"pyruvate kinase activity [GO:0004743]",2
"9-cis-epoxycarotenoid dioxygenase activity [GO:0045549]",1
"alpha,alpha-trehalase activity [GO:0004555]",1
"cyclin binding [GO:0030332]",1
"cyclin-dependent protein serine/threonine kinase activity [GO:0004693]",1
"endo-1,4-beta-xylanase activity [GO:0031176]",1
"glycogen (starch) synthase activity [GO:0004373]",1
"hydrolase activity, acting on ester bonds [GO:0016788]",1
"iron ion binding [GO:0005506]",1
"monooxygenase activity [GO:0004497]",1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",1
"sterol binding [GO:0032934]",1
"sterol transporter activity [GO:0015248]",1
"sucrose:proton symporter activity [GO:0008506]",1
"UDP-glucosyltransferase activity [GO:0035251]",1
