"a","Freq"
"oxidoreductase activity [GO:0016491]",3
"ADP binding [GO:0043531]",2
"heme binding [GO:0020037]",2
"metal ion binding [GO:0046872]",2
"ribulose-bisphosphate carboxylase activity [GO:0016984]",2
"3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]",1
"3-hydroxybutyryl-CoA epimerase activity [GO:0008692]",1
"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",1
"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]",1
"aspartic-type endopeptidase activity [GO:0004190]",1
"ATP binding [GO:0005524]",1
"carbohydrate binding [GO:0030246]",1
"cellulase activity [GO:0008810]",1
"chalcone synthase activity [GO:0102128]",1
"copper ion binding [GO:0005507]",1
"delta(3)-delta(2)-enoyl-CoA isomerase activity [GO:0004165]",1
"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]",1
"enoyl-CoA hydratase activity [GO:0004300]",1
"glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]",1
"hexosyltransferase activity [GO:0016758]",1
"Hsp90 protein binding [GO:0051879]",1
"hydroquinone:oxygen oxidoreductase activity [GO:0052716]",1
"iron ion binding [GO:0005506]",1
"lactoperoxidase activity [GO:0140825]",1
"manganese ion binding [GO:0030145]",1
"mechanosensitive monoatomic ion channel activity [GO:0008381]",1
"monooxygenase activity [GO:0004497]",1
"NAD+ binding [GO:0070403]",1
"naringenin-chalcone synthase activity [GO:0016210]",1
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",1
"oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]",1
"protein dimerization activity [GO:0046983]",1
"protein kinase activity [GO:0004672]",1
"protein-folding chaperone binding [GO:0051087]",1
"RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",1
"water channel activity [GO:0015250]",1
