"a","Freq"
"membrane [GO:0016020]",15
"plasma membrane [GO:0005886]",5
"nucleus [GO:0005634]",4
"extracellular region [GO:0005576]",3
"cytoplasm [GO:0005737]",2
"cyclin-dependent protein kinase holoenzyme complex [GO:0000307]",1
"eukaryotic 43S preinitiation complex [GO:0016282]",1
"eukaryotic 48S preinitiation complex [GO:0033290]",1
"eukaryotic translation initiation factor 3 complex [GO:0005852]",1
"Golgi apparatus [GO:0005794]",1
"plant-type cell wall [GO:0009505]",1
"plant-type vacuole membrane [GO:0009705]",1
"vacuole [GO:0005773]",1
