"a","Freq"
"DNA-binding transcription factor activity [GO:0003700]",10
"ATP binding [GO:0005524]",6
"DNA binding [GO:0003677]",4
"glycosyltransferase activity [GO:0016757]",4
"oxidoreductase activity [GO:0016491]",4
"protein kinase activity [GO:0004672]",4
"metal ion binding [GO:0046872]",3
"calcium ion binding [GO:0005509]",2
"copper ion binding [GO:0005507]",2
"enzyme regulator activity [GO:0030234]",2
"heme binding [GO:0020037]",2
"lactoperoxidase activity [GO:0140825]",2
"protein dimerization activity [GO:0046983]",2
"sequence-specific DNA binding [GO:0043565]",2
"transcription cis-regulatory region binding [GO:0000976]",2
"3-dehydroquinate synthase activity [GO:0003856]",1
"3-hydroxyisobutyryl-CoA hydrolase activity [GO:0003860]",1
"4-alpha-glucanotransferase activity [GO:0004134]",1
"abscisic acid binding [GO:0010427]",1
"acyl-[acyl-carrier-protein] desaturase activity [GO:0045300]",1
"acyltransferase activity [GO:0016746]",1
"acyltransferase activity, acyl groups converted into alkyl on transfer [GO:0046912]",1
"aminoacetone:oxygen oxidoreductase(deaminating) activity [GO:0052594]",1
"anaphase-promoting complex binding [GO:0010997]",1
"antiporter activity [GO:0015297]",1
"aspartic-type endopeptidase activity [GO:0004190]",1
"aspartyl esterase activity [GO:0045330]",1
"ATP hydrolysis activity [GO:0016887]",1
"beta-maltose 4-alpha-glucanotransferase activity [GO:0102500]",1
"carbohydrate phosphatase activity [GO:0019203]",1
"carbon-sulfur lyase activity [GO:0016846]",1
"carboxy-lyase activity [GO:0016831]",1
"cellulase activity [GO:0008810]",1
"copper ion transmembrane transporter activity [GO:0005375]",1
"cyclase activity [GO:0009975]",1
"gamma-glutamyl-peptidase activity [GO:0034722]",1
"glucose-1-phosphate adenylyltransferase activity [GO:0008878]",1
"glutathione hydrolase activity [GO:0036374]",1
"glycogen (starch) synthase activity [GO:0004373]",1
"hydrolase activity, acting on ester bonds [GO:0016788]",1
"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",1
"inorganic phosphate transmembrane transporter activity [GO:0005315]",1
"inositol oxygenase activity [GO:0050113]",1
"iron ion binding [GO:0005506]",1
"methyltransferase activity [GO:0008168]",1
"nicotinate phosphoribosyltransferase activity [GO:0004516]",1
"nitrate transmembrane transporter activity [GO:0015112]",1
"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]",1
"pectinesterase activity [GO:0030599]",1
"peroxidase activity [GO:0004601]",1
"phenethylamine:oxygen oxidoreductase (deaminating) activity [GO:0052596]",1
"phosphoenolpyruvate carboxylase activity [GO:0008964]",1
"protein phosphatase inhibitor activity [GO:0004864]",1
"protein serine/threonine kinase activity [GO:0004674]",1
"protein tyrosine/serine/threonine phosphatase activity [GO:0008138]",1
"pyridoxal phosphate binding [GO:0030170]",1
"quinone binding [GO:0048038]",1
"ribulose-bisphosphate carboxylase activity [GO:0016984]",1
"signaling receptor activity [GO:0038023]",1
"starch binding [GO:2001070]",1
"sucrose synthase activity [GO:0016157]",1
"transaminase activity [GO:0008483]",1
"transferase activity [GO:0016740]",1
"tryptamine:oxygen oxidoreductase (deaminating) activity [GO:0052593]",1
"ubiquitin ligase activator activity [GO:1990757]",1
"UDP-glycosyltransferase activity [GO:0008194]",1
"violaxanthin de-epoxidase activity [GO:0046422]",1
"zinc ion transmembrane transporter activity [GO:0005385]",1
