"","Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"Pp3c22_760","PHYPA_026537","A0A2K1ILS0","Pp3c22_760","(1 of 29) PTHR31867:SF30 - EXPANSIN-A5","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",7.16773805658187,-0.12601307252053,0.574186100668799,12.5824937473312,0.169365853732668,0.560254826796463,9.56951615052269,0.000406289127461399,0.999993322508911,10.2131095325545,0.15168901424252,0.145031650886417
"Pp3c18_19660","PHYPA_023342","A0A2K1J1N7","Pp3c18_19660","(1 of 29) PTHR31867:SF30 - EXPANSIN-A5","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",60.7747211671019,-0.120297679750484,0.705038980499145,62.86619897196,0.279798310293366,0.377281356524852,57.1351293053534,-0.00299670249985005,0.999993322508911,66.3762333454856,0.124216355482404,0.515929796316491
"Pp3c18_19690","PHYPA_023343","A0A2K1J1N9","Pp3c18_19690","(1 of 29) PTHR31867:SF30 - EXPANSIN-A5","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",543.7000640906,-0.615508759860554,0.0226565410514747,296.596669083044,-1.09602057694666,0.00779604358930795,559.140629132509,-0.00666066167850898,0.999993322508911,281.900806040007,-1.14617575708966,2.05911144621528e-05
"Pp3c14_18440","PHYPA_018674","A0A2K1JI90","Pp3c14_18440","(1 of 29) PTHR31867:SF30 - EXPANSIN-A5","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",280.920502214131,0.355895928256104,0.178559892755136,411.769687886419,1.47077067860918,5.17805385195391e-05,221.840976017775,-0.00220188555920321,0.999993322508911,468.64276731192,0.858863233759418,0.000259401867970996
"Pp3c11_12000","PHYPA_014931","A0A2K1JUG1","Pp3c11_12000","(1 of 29) PTHR31867:SF30 - EXPANSIN-A5","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",5.89330033346418,0.151967081922676,0.42891481715517,14.9804304127172,-1.05877409285576,0.0503285241068676,13.6520121931257,2.21006043899749,0.0289060685734765,7.32262091326175,-0.0115710939188334,0.925357054848195
"Pp3c8_870","PHYPA_010973","A0A2K1K5N6","Pp3c8_870","(1 of 40) PF01357//PF03330 - Pollen allergen (Pollen_allerg_1)  // Rare lipoprotein A (RlpA)-like double-psi beta-barrel (DPBB_1)","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",3278.98403264333,-0.436480126559818,0.0147492138886857,3136.617262331,-0.391018107119708,0.016958412720177,3760.12950842514,-0.00387789169450849,0.999993322508911,2664.85005408913,-0.000292322764303303,0.99829225119742
"Pp3c8_14900","PHYPA_011555","A0A2K1K7A4","Pp3c8_14900","(1 of 29) PTHR31867:SF30 - EXPANSIN-A5","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",40.7562286357167,-0.358188649601446,0.246127460112106,86.6831200296355,-0.964148965906021,0.00172465320835928,85.0859799089533,1.10525909487843,0.00427709633803907,43.0876267098001,0.36327447578876,0.166793310581729
"Pp3c7_12870","PHYPA_010324","A0A2K1KBI2","Pp3c7_12870","(1 of 29) PTHR31867:SF30 - EXPANSIN-A5","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",10.5535774240117,-1.13849865631775,0.0409884002043997,79.1948452247778,-2.24039661510738,2.02291631134971e-06,76.0934438009199,2.89878662231094,2.04674837454946e-08,14.7549678260455,2.09529615279015,0.00332421682113187
"Pp3c14_18590","PHYPA_018680","A9RX86","Pp3c14_18590","(1 of 29) PTHR31867:SF30 - EXPANSIN-A5","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",464.993633476144,-0.352622747403305,0.104183763270404,641.107583745949,0.683044283000155,0.00152283834320091,511.790797991996,-0.00525552112029195,0.999993322508911,594.297539429476,0.987315175824182,4.86821344816706e-07
"Pp3c24_15400","PHYPA_029113","A9T7H0","Pp3c24_15400","(1 of 40) PF01357//PF03330 - Pollen allergen (Pollen_allerg_1)  // Rare lipoprotein A (RlpA)-like double-psi beta-barrel (DPBB_1)","Expansin","GO:0005576; GO:0009653; GO:0009664; GO:0016020","anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","extracellular region [GO:0005576]; membrane [GO:0016020]","extracellular region [GO:0005576]; membrane [GO:0016020]; anatomical structure morphogenesis [GO:0009653]; plant-type cell wall organization [GO:0009664]","",5.30352204057135,0.0639379683903384,0.784399442024849,5.55359912388449,-0.227846976619619,0.297006951268132,6.42288271828386,0.00208066367486706,0.999993322508911,4.45187173195339,-0.0348147790922709,0.67732025117576
