"Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"PHYPA_000050","A0A2K1L6G5","Pp3c1_950","(1 of 12) PTHR31874:SF1 - CCT MOTIF FAMILY PROTEIN-RELATED","Uncharacterized protein","GO:0005634; GO:0006355; GO:0008270","regulation of DNA-templated transcription [GO:0006355]","nucleus [GO:0005634]","nucleus [GO:0005634]; zinc ion binding [GO:0008270]; regulation of DNA-templated transcription [GO:0006355]","zinc ion binding [GO:0008270]",286.320766518495,1.91851481334281,9.76573960876027e-20,209.500035788932,1.61105256001806,7.99221568801054e-10,109.702942656062,-0.0048652958138766,0.999993322508911,381.324009694785,-0.342113287729816,0.121309132685837
"PHYPA_000208","A0A2K1L707","Pp3c1_4970","(1 of 5) PTHR10641//PTHR10641:SF546 - MYB-LIKE DNA-BINDING PROTEIN MYB","Uncharacterized protein","","","","","",50.3421604656506,1.2418358832105,0.000613661956550387,85.8934869229486,0.633595383344577,0.0271191542981084,46.2301874465664,0.951116198140596,0.0557743851638631,89.5497599669374,0.366326154968889,0.153268644544689
"PHYPA_000306","A9S018","Pp3c1_7030","(1 of 2) PTHR11527:SF95 - 23.5 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL-RELATED","SHSP domain-containing protein","GO:0009408","response to heat [GO:0009408]","","response to heat [GO:0009408]","",649.743782805584,6.74558730673327,3.12738277826946e-103,323.295218707423,7.25116480798681,2.12790437153372e-43,8.26522300658106,-0.00300966166613861,0.999993322508911,948.212087711793,-0.86871497418731,0.000535122217992456
"PHYPA_000337","A0A2K1L7B2","Pp3c1_7540","(1 of 2) PTHR15160//PTHR15160:SF6 - VON HIPPEL-LINDAU PROTEIN","BFN domain-containing protein","GO:0004518; GO:0005634; GO:0016567; GO:0030891","protein ubiquitination [GO:0016567]","nucleus [GO:0005634]; VCB complex [GO:0030891]","nucleus [GO:0005634]; VCB complex [GO:0030891]; nuclease activity [GO:0004518]; protein ubiquitination [GO:0016567]","nuclease activity [GO:0004518]",119.376209893015,1.41648363253322,2.19022102528116e-05,188.733467552252,1.31373000165311,0.00382181593970478,79.1840054015977,0.00535203692817841,0.999993322508911,227.193319346001,0.281787786736207,0.225771473480824
"PHYPA_000428","A0A2K1L7M9","Pp3c1_9290","(1 of 6) PF07014 - Hs1pro-1 protein C-terminus (Hs1pro-1_C)","Nematode resistance protein-like HSPRO2","GO:0006952; GO:0019441; GO:0020037; GO:0046872","defense response [GO:0006952]; tryptophan catabolic process to kynurenine [GO:0019441]","","heme binding [GO:0020037]; metal ion binding [GO:0046872]; defense response [GO:0006952]; tryptophan catabolic process to kynurenine [GO:0019441]","heme binding [GO:0020037]; metal ion binding [GO:0046872]",163.472311676052,2.30897877539431,1.475583210125e-13,92.1857459962142,0.939825271972888,0.0501959638062893,51.5031083738709,-0.00040645858791014,0.999993322508911,201.109562442772,-0.849338596145122,0.0029668083968967
"PHYPA_000453","A9RZK9","Pp3c1_9830","(1 of 12) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase","Triosephosphate isomerase","GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0019563; GO:0046166","gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]","cytosol [GO:0005829]","cytosol [GO:0005829]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]","triose-phosphate isomerase activity [GO:0004807]",209.967074405544,1.14454530754967,6.71925800951957e-06,180.680171184941,1.1963135739747,5.26845601561267e-06,117.321433766245,-0.00402996046079774,0.999993322508911,270.841796645419,-0.0917969855967592,0.71166382516462
"PHYPA_000534","A0A2K1L7U2","Pp3c1_11690","(1 of 2) PTHR24286:SF0 - CYTOCHROME P450 61","Uncharacterized protein","GO:0004497; GO:0005506; GO:0016020; GO:0016125; GO:0016491; GO:0016705; GO:0020037","sterol metabolic process [GO:0016125]","membrane [GO:0016020]","membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; sterol metabolic process [GO:0016125]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",2042.34938450842,1.36125098948248,1.53494936400626e-12,1826.95957958227,1.16935541270664,5.08545664526797e-07,1119.10460362621,-0.000824399182672405,0.999993322508911,2723.74569401476,-0.0991031878610184,0.686205134682612
"PHYPA_000588","A9SK21","Pp3c1_12850","(1 of 1) PTHR23291:SF34 - BAX INHIBITOR 1","Bax inhibitor 1","GO:0016020","","membrane [GO:0016020]","membrane [GO:0016020]","",3374.96881333232,1.53479535235958,8.31542150031934e-21,3309.30605683934,1.6706397111207,2.4794522730022e-16,1647.99302952771,-0.00453259062954855,0.999993322508911,4985.93152725871,0.0202336044307016,0.937980067073928
"PHYPA_000654","A0A2K1L868","Pp3c1_14540","(1 of 1) PTHR11732//PTHR11732:SF284 - ALDO/KETO REDUCTASE","NADP-dependent oxidoreductase domain-containing protein","GO:0004032; GO:0005829","","cytosol [GO:0005829]","cytosol [GO:0005829]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]","alditol:NADP+ 1-oxidoreductase activity [GO:0004032]",1362.59118887321,1.11006521221835,5.19229996792437e-09,1750.94387900787,1.22680946013708,3.17881116589804e-12,948.51059507023,0.0126486624804869,0.999993322508911,2150.33288888951,0.339562819234693,0.0658924232809974
"PHYPA_000655","A0A2K1L8B5","Pp3c1_14550","(1 of 6) PTHR11005:SF37 - TRIACYLGLYCEROL LIPASE 1","Uncharacterized protein","","","","","",747.280816569779,1.23779841248843,5.07039180627309e-20,955.221383720386,1.20647884682578,3.53054149102923e-16,511.623182570062,0.0306221992947885,0.481416913840238,1182.47551495566,0.321388326810498,0.0294074237285342
"PHYPA_000666","A0A2K1L8A2","Pp3c1_14770","(1 of 1) PTHR20208:SF13 - EMB","GIY-YIG domain-containing protein","GO:0004519","","","endonuclease activity [GO:0004519]","endonuclease activity [GO:0004519]",355.243499005026,1.27867773762883,2.42477222729905e-11,372.572561510823,1.09744725114017,7.54896557586983e-06,218.732551368481,0.00549193680654537,0.999993322508911,504.752357449479,0.0291130818103638,0.924934414928832
"PHYPA_001149","A9S9U9","Pp3c1_25080","(1 of 1) PTHR16007//PTHR16007:SF29 - EPIDIDYMAL MEMBRANE PROTEIN E9-RELATED","Transmembrane protein 45B","GO:0016020","","membrane [GO:0016020]","membrane [GO:0016020]","",299.403561399034,4.15578129636518,1.01859010422769e-36,240.833985207064,3.38868879550474,0.00648294971406334,26.8874805922662,-0.00102687376181174,0.999993322508911,505.640645132349,-0.0127920018746129,0.919017902092804
"PHYPA_001179","A9RPR5","Pp3c1_25700","(1 of 1) 4.2.1.130 - D-lactate dehydratase / Glyoxylase III","DJ-1/PfpI domain-containing protein","GO:0005737; GO:0019172; GO:0019243","methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; glyoxalase III activity [GO:0019172]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]","glyoxalase III activity [GO:0019172]",2030.9469081084,1.38519890302813,1.75842410006885e-15,2056.25019978761,1.32777676550388,4.36515419894219e-09,1136.05476295774,0.00166684701412328,0.999993322508911,2923.79483210495,0.0224978022677198,0.940448127486577
"PHYPA_001253","A0A2K1L9X9","Pp3c1_27480","(1 of 4) PTHR15241 - TRANSFORMER-2-RELATED","RRM domain-containing protein","GO:0003723","","","RNA binding [GO:0003723]","RNA binding [GO:0003723]",500.862111870427,1.04265607036966,3.46604555723294e-05,437.946709929253,0.987353591659939,1.25908520393584e-05,303.471528185731,-0.00274422950849231,0.999993322508911,629.71393957348,-0.103770282114234,0.670140385412532
