"a","Freq"
"response to oxidative stress [GO:0006979]",3
"hydrogen peroxide catabolic process [GO:0042744]",2
"phosphorylation [GO:0016310]",2
"carotene catabolic process [GO:0016121]",1
"deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]",1
"G1/S transition of mitotic cell cycle [GO:0000082]",1
"glycolytic process [GO:0006096]",1
"polysaccharide catabolic process [GO:0000272]",1
"protein phosphorylation [GO:0006468]",1
"regulation of G2/M transition of mitotic cell cycle [GO:0010389]",1
"regulation of gene expression [GO:0010468]",1
"regulation of timing of plant organ formation [GO:0090709]",1
"response to organic substance [GO:0010033]",1
"signal transduction [GO:0007165]",1
"starch biosynthetic process [GO:0019252]",1
"trehalose catabolic process [GO:0005993]",1
