"a","Freq"
"protein folding [GO:0006457]",18
"response to heat [GO:0009408]",16
"protein complex oligomerization [GO:0051259]",13
"response to hydrogen peroxide [GO:0042542]",13
"response to salt stress [GO:0009651]",13
"chaperone cofactor-dependent protein refolding [GO:0051085]",5
"protein refolding [GO:0042026]",4
"carbohydrate metabolic process [GO:0005975]",2
"cellular response to heat [GO:0034605]",2
"protein stabilization [GO:0050821]",2
"protein ubiquitination [GO:0016567]",2
"anatomical structure morphogenesis [GO:0009653]",1
"asparagine biosynthetic process [GO:0006529]",1
"carotene catabolic process [GO:0016121]",1
"cell wall macromolecule catabolic process [GO:0016998]",1
"cellulose microfibril organization [GO:0010215]",1
"chitin catabolic process [GO:0006032]",1
"cytokinin metabolic process [GO:0009690]",1
"dCTP catabolic process [GO:0006253]",1
"defense response [GO:0006952]",1
"defense response to fungus [GO:0050832]",1
"DNA protection [GO:0042262]",1
"DNA-templated transcription [GO:0006351]",1
"endoplasmic reticulum to cytosol auxin transport [GO:0080162]",1
"ethylene-activated signaling pathway [GO:0009873]",1
"glutamine metabolic process [GO:0006541]",1
"glycogen metabolic process [GO:0005977]",1
"mRNA processing [GO:0006397]",1
"nucleosome assembly [GO:0006334]",1
"photosynthesis [GO:0015979]",1
"plant-type cell wall organization [GO:0009664]",1
"proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]",1
"protein dephosphorylation [GO:0006470]",1
"protein peptidyl-prolyl isomerization [GO:0000413]",1
"protein phosphorylation [GO:0006468]",1
"regulation of DNA-templated transcription [GO:0006355]",1
"regulation of transcription by RNA polymerase II [GO:0006357]",1
"response to abscisic acid [GO:0009737]",1
"response to chemical [GO:0042221]",1
"response to gibberellin [GO:0009739]",1
"response to stimulus [GO:0050896]",1
"response to water deprivation [GO:0009414]",1
"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]",1
"trehalose catabolic process [GO:0005993]",1
"trichome morphogenesis [GO:0010090]",1
"ubiquitin-dependent protein catabolic process [GO:0006511]",1
"UDP-glucose metabolic process [GO:0006011]",1
