"a","Freq"
"defense response [GO:0006952]",3
"carbohydrate metabolic process [GO:0005975]",2
"photorespiration [GO:0009853]",2
"reductive pentose-phosphate cycle [GO:0019253]",2
"signal transduction [GO:0007165]",2
"amino acid transport [GO:0006865]",1
"anatomical structure morphogenesis [GO:0009653]",1
"cell fate determination [GO:0001709]",1
"cellulose catabolic process [GO:0030245]",1
"chaperone-mediated protein complex assembly [GO:0051131]",1
"defense response to fungus [GO:0050832]",1
"exocytosis [GO:0006887]",1
"fatty acid beta-oxidation [GO:0006635]",1
"Golgi to plasma membrane transport [GO:0006893]",1
"hydrogen peroxide catabolic process [GO:0042744]",1
"lignin catabolic process [GO:0046274]",1
"lipid metabolic process [GO:0006629]",1
"monoatomic anion transport [GO:0006820]",1
"plant-type cell wall organization [GO:0009664]",1
"polyketide biosynthetic process [GO:0030639]",1
"positive regulation of transcription by RNA polymerase II [GO:0045944]",1
"protein folding [GO:0006457]",1
"protein glycosylation [GO:0006486]",1
"protein localization [GO:0008104]",1
"protein localization to plasma membrane [GO:0072659]",1
"protein phosphorylation [GO:0006468]",1
"protein targeting to ER [GO:0045047]",1
"protein ubiquitination [GO:0016567]",1
"proteolysis [GO:0006508]",1
"regulation of transcription by RNA polymerase II [GO:0006357]",1
"resolution of meiotic recombination intermediates [GO:0000712]",1
"response to oxidative stress [GO:0006979]",1
"signal peptide processing [GO:0006465]",1
"sterol metabolic process [GO:0016125]",1
"transmembrane transport [GO:0055085]",1
"trehalose biosynthetic process [GO:0005992]",1
"trehalose metabolism in response to stress [GO:0070413]",1
