"","Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"Pp3s375_10","PHYPA_031192","A0A2K1I9T5","Pp3s375_10","(1 of 7) PTHR11817:SF5 - PYRUVATE KINASE-RELATED","Pyruvate kinase (EC 2.7.1.40)","GO:0000287; GO:0004743; GO:0005524; GO:0016301; GO:0016310; GO:0030955","phosphorylation [GO:0016310]","","ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; phosphorylation [GO:0016310]","ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]",341.390464955928,-1.11595042589017,5.40451817868621e-08,39.7716561261015,-0.993498857111734,0.00694897863594234,266.830491379359,-3.04792776535689,6.7167061239978e-34,114.271182275856,-3.04156557673491,2.31808975506891e-27
"Pp3c9_1490","PHYPA_012120","A0A2K1K1K5","Pp3c9_1490","(1 of 7) PTHR11817:SF5 - PYRUVATE KINASE-RELATED","Pyruvate kinase (EC 2.7.1.40)","GO:0000287; GO:0004743; GO:0005524; GO:0005737; GO:0006096; GO:0016301; GO:0016310; GO:0030955","glycolytic process [GO:0006096]; phosphorylation [GO:0016310]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]","ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]",117.671745870328,-0.743871690783012,0.00451491522413878,17.0238843756074,-0.611082846644342,0.117725650067866,88.4058300969689,-2.58043481881134,1.08213588004112e-11,46.1081049393463,-2.89201777312279,4.5964564996093e-12
"Pp3c12_7500","PHYPA_015927","A0A2K1JQ56","Pp3c12_7500","(1 of 36) 1.1.3.9 - Galactose oxidase / Beta-galactose oxidase","Uncharacterized protein","GO:0016020","","membrane [GO:0016020]","membrane [GO:0016020]","",284.832937337713,0.162790373002054,0.584747346825028,49.1409878050322,0.0978678504386046,0.739378383028186,151.725819626049,-2.47437961123449,4.56027601045239e-07,179.780520388623,-0.103462964187348,0.0569408654706697
"Pp3c13_5750","PHYPA_017027","A9T8B7","Pp3c13_5750","(1 of 3) PTHR34109:SF1 - DESSICATION-INDUCED 1VOC-LIKE PROTEIN","VOC domain-containing protein","","","","","",1628.58078379746,0.172607065633182,0.5467901551773,465.626086864341,0.753191678350309,0.0394125093320287,907.751746682133,-2.11234919650327,1.72959266130708e-06,1173.64473527545,-1.40566368370413,5.83801265052696e-08
"Pp3c2_18630","PHYPA_002897","A0A2K1L249","Pp3c2_18630","(1 of 3) PTHR23257:SF353 - KINASE-LIKE PROTEIN","Protein kinase domain-containing protein","GO:0004674; GO:0005524; GO:0006468","protein phosphorylation [GO:0006468]","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]",608.363789504232,0.0470716885925606,0.848086723477211,147.667787082813,0.0434998675296319,0.908671720554969,374.09507955358,-1.99468756567633,6.77614473108387e-20,377.823510176831,-1.97318171669374,8.67927177510849e-23
"Pp3c18_1550","PHYPA_022615","Q4A3V3","Pp3c18_1550","(1 of 13) 3.2.1.51 - Alpha-L-fucosidase / Alpha-L-fucoside fucohydrolase","GDSL-like lipase","GO:0016788","","","hydrolase activity, acting on ester bonds [GO:0016788]","hydrolase activity, acting on ester bonds [GO:0016788]",756.834504609113,-0.404649827644774,0.180679682686141,166.531406171186,-0.434531548766496,0.187863923167134,566.310728723286,-1.98113279384868,2.2080401258286e-05,355.202597021901,-2.13315058176993,1.17166932872156e-12
"Pp3c20_17620","PHYPA_025263","A0A2K1IVM2","Pp3c20_17620","(1 of 4) 6.3.5.4 - Asparagine synthase (glutamine-hydrolyzing) / Glutamine-dependent asparagine synthetase","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)","GO:0004066; GO:0005524; GO:0005829; GO:0006529; GO:0006541","asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541]","cytosol [GO:0005829]","cytosol [GO:0005829]; asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541]","asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]",1393.57057964301,2.38845872520819,5.72881180658266e-39,641.704882217832,3.314235432386,2.8618896687366e-24,279.390279269491,-1.85717750214568,2.67961527783876e-08,1727.7418593226,-0.873145279414407,0.000402900714662625
"Pp3c13_19580","PHYPA_017581","A0A2K1JMG8","Pp3c13_19580","(1 of 4) PTHR31223:SF17 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG3-RELATED","Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)","GO:0005634; GO:0005829; GO:0009691; GO:0016799","cytokinin biosynthetic process [GO:0009691]","cytosol [GO:0005829]; nucleus [GO:0005634]","cytosol [GO:0005829]; nucleus [GO:0005634]; hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]; cytokinin biosynthetic process [GO:0009691]","hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]",75.3006192310951,-0.283588948629691,0.310228581619787,28.0404624166157,0.264706370280133,0.381169835528063,53.8482303427046,-1.77490715868625,0.00545279612618693,49.1599614429605,-0.514559815113141,0.098841534129897
"Pp3c11_11230","PHYPA_014894","A0A2K1JUB4","Pp3c11_11230","(1 of 34) PF03195 - Protein of unknown function DUF260 (DUF260)","LOB domain-containing protein","GO:0005634; GO:0009755; GO:0045893","hormone-mediated signaling pathway [GO:0009755]; positive regulation of DNA-templated transcription [GO:0045893]","nucleus [GO:0005634]","nucleus [GO:0005634]; hormone-mediated signaling pathway [GO:0009755]; positive regulation of DNA-templated transcription [GO:0045893]","",215.359910103743,0.0577546133702128,0.836226249842218,62.9329670682645,0.140482767173997,0.681555258401841,134.909984697022,-1.7742406179327,6.68775910292789e-09,141.912903188532,-1.59162136328969,2.45690811659856e-10
"Pp3c10_8570","PHYPA_013617","A9S9F5","Pp3c10_8570","(1 of 36) 1.1.3.9 - Galactose oxidase / Beta-galactose oxidase","Galactose oxidase-like Early set domain-containing protein","","","","","",955.852935872922,-1.66969817692799,7.03186626587e-12,317.232302153275,-0.856281061858251,0.000135999909141823,951.849299544593,-1.72780276483658,1.19433771168857e-08,324.948539732079,-0.933811720717258,6.64212129163984e-07
