"Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"PHYPA_000135","A9TWJ8","Pp3c1_3300","(1 of 5) PTHR24089:SF392 - MITOCHONDRIAL UNCOUPLING PROTEIN 4-RELATED","Uncharacterized protein","GO:0008272; GO:0015116; GO:0015117; GO:0015131; GO:0015140; GO:0015141; GO:0015297; GO:0015709; GO:0015729; GO:0016020; GO:0035435; GO:0071422; GO:0071423","malate transmembrane transport [GO:0071423]; oxaloacetate transport [GO:0015729]; phosphate ion transmembrane transport [GO:0035435]; succinate transmembrane transport [GO:0071422]; sulfate transport [GO:0008272]; thiosulfate transport [GO:0015709]","membrane [GO:0016020]","membrane [GO:0016020]; antiporter activity [GO:0015297]; malate transmembrane transporter activity [GO:0015140]; oxaloacetate transmembrane transporter activity [GO:0015131]; succinate transmembrane transporter activity [GO:0015141]; sulfate transmembrane transporter activity [GO:0015116]; thiosulfate transmembrane transporter activity [GO:0015117]; malate transmembrane transport [GO:0071423]; oxaloacetate transport [GO:0015729]; phosphate ion transmembrane transport [GO:0035435]; succinate transmembrane transport [GO:0071422]; sulfate transport [GO:0008272]; thiosulfate transport [GO:0015709]","antiporter activity [GO:0015297]; malate transmembrane transporter activity [GO:0015140]; oxaloacetate transmembrane transporter activity [GO:0015131]; succinate transmembrane transporter activity [GO:0015141]; sulfate transmembrane transporter activity [GO:0015116]; thiosulfate transmembrane transporter activity [GO:0015117]",4481.25712871245,-1.49278555871845,2.61260880265262e-12,3968.50141438616,-1.29930629703285,1.14263440110482e-05,6287.95476681625,-0.00339185689313441,0.999993322508911,2205.81128762005,-0.0212193683212048,0.938241074141709
"PHYPA_000138","A9S385","Pp3c1_3380","(1 of 3) PF01152 - Bacterial-like globin (Bac_globin)","Hemoglobin","GO:0001666; GO:0005344; GO:0019825; GO:0020037; GO:0046872","response to hypoxia [GO:0001666]","","heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; response to hypoxia [GO:0001666]","heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]",309.26280595902,-1.18477768577654,8.13275742344073e-05,231.82015525417,-1.03561049707757,7.48692148927815e-06,382.816263089847,-0.00778755484867051,0.999993322508911,160.457661968359,-0.133693648356339,0.563645649611299
"PHYPA_000184","A0A2K1L6Z5","Pp3c1_4270","(1 of 16) 1.6.5.5 - NADPH:quinone reductase / Zeta-crystallin","Enoyl reductase (ER) domain-containing protein","GO:0008270; GO:0016491","","","oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]","oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]",276.498549115788,-1.72087487707301,4.17350019680023e-17,300.95963726392,-1.22487664328024,1.93892530744611e-08,432.048268617285,0.000551784969708052,0.999993322508911,148.946890469006,0.332578894808146,0.157007281431176
"PHYPA_000367","A0A2K1L7E3","Pp3c1_8080","(1 of 9) 5.1.3.6 - UDP-glucuronate 4-epimerase / Uridine diphosphoglucuronate epimerase","NAD(P)-binding domain-containing protein","","","","","",107.667249545818,-0.725094830942212,0.0229947127774027,120.555331925712,-1.4597150624403,0.00129274509527373,164.467122583726,0.00365130234878034,0.999993322508911,64.7818781711488,-0.0938312042829785,0.651834689757977
"PHYPA_000487","A9SYZ5","Pp3c1_10570","(1 of 4) PF02713 - Domain of unknown function DUF220 (DUF220)","DUF220 domain-containing protein","","","","","",334.791881988155,-1.42905706994234,2.12707304386721e-11,342.962276253341,-1.22118235582032,4.0459211033805e-07,495.984757190413,-0.000131878341573971,0.999993322508911,185.388224188442,0.109296935132544,0.651834689757977
"PHYPA_000496","A0A2K1L7T5","Pp3c1_10700","(1 of 4) PTHR10751:SF2 - GUANYLATE-BINDING PROTEIN","GB1/RHD3-type G domain-containing protein","GO:0003924; GO:0005525","","","GTP binding [GO:0005525]; GTPase activity [GO:0003924]","GTP binding [GO:0005525]; GTPase activity [GO:0003924]",303.894049678044,-0.764325482223428,4.36680806902987e-05,255.58444973457,-1.05431697811809,9.85503714991011e-07,373.41383747725,-0.00487791464187081,0.999993322508911,187.804998361963,-0.309013264577537,0.123601869057615
"PHYPA_000518","A9SZ18","Pp3c1_11070","(1 of 2) PTHR19411 - G10 PROTEIN HOMOLOG","G10 protein","GO:0000398; GO:0005681","mRNA splicing, via spliceosome [GO:0000398]","spliceosomal complex [GO:0005681]","spliceosomal complex [GO:0005681]; mRNA splicing, via spliceosome [GO:0000398]","",142.968298978985,-0.755722280974866,0.0118613210010525,105.972280445628,-1.03916314145047,6.3084913006963e-05,168.119320628785,-0.00674908010613784,0.999993322508911,81.5798038634275,-0.300726170586469,0.216657668245613
"PHYPA_000629","A0A2K1L839","Pp3c1_13800","","Uncharacterized protein","GO:0016020","","membrane [GO:0016020]","membrane [GO:0016020]","",185.823262478616,-0.28379510086137,0.270847696938005,132.705745664269,-1.10882034320718,2.02421981639911e-05,200.264187888823,-0.00501308439109108,0.999993322508911,118.740400109597,-0.834020599484076,0.00339973286373083
"PHYPA_000716","A9SBS2","Pp3c1_15750","(1 of 2) PTHR23316:SF29 - IMPORTIN SUBUNIT ALPHA-2","Importin subunit alpha","GO:0005737; GO:0006606; GO:0061608","protein import into nucleus [GO:0006606]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; nuclear import signal receptor activity [GO:0061608]; protein import into nucleus [GO:0006606]","nuclear import signal receptor activity [GO:0061608]",1093.39526955664,-0.360354242708924,0.106567781174782,937.339939794578,-1.11401771297426,4.96477200715505e-05,1300.65621025017,0.00171495083659968,0.999993322508911,734.842772320673,-0.588881403874201,0.00567784862740937
"PHYPA_000759","A9SBK2","Pp3c1_17080","","Uncharacterized protein","","","","","",1688.60657038718,-0.758386266369185,4.04488404823822e-05,1305.9500748868,-1.27580409855539,1.27838609571286e-06,2040.22139456635,-0.00539078508961791,0.999993322508911,962.817641233809,-0.620078696724374,0.003365644380598
