"","Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"Pp3c26_10600","PHYPA_030471","A0A2K1ICI2","Pp3c26_10600","(1 of 5) PTHR19375//PTHR19375:SF147 - HEAT SHOCK PROTEIN 70KDA","Uncharacterized protein","GO:0005524; GO:0005737; GO:0009507; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051082; GO:0051085; GO:0140662","chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","chloroplast [GO:0009507]; cytoplasm [GO:0005737]","chloroplast [GO:0009507]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]",2170.69158975088,1.28779326323595,3.04744012754356e-13,1860.27818729627,0.667120122777356,0.00418351761483807,1329.84602137442,0.00562079275366876,0.999993322508911,2676.09295460952,-0.290878453130245,0.121352615646954
"Pp3c8_7210","PHYPA_011260","A0A2K1K6F9","Pp3c8_7210","(1 of 11) PTHR10772 - 10 KDA HEAT SHOCK PROTEIN","Chaperonin 10","GO:0005524; GO:0005759; GO:0044183; GO:0046872; GO:0051082; GO:0051085; GO:0051087","chaperone cofactor-dependent protein refolding [GO:0051085]","mitochondrial matrix [GO:0005759]","mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]","ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]",1193.54861225574,2.67756226775127,1.87206862131043e-65,1141.17464989459,2.56698815687544,6.82275916421577e-30,325.463255249844,0.0010454504112196,0.999993322508911,1985.16003887149,-0.0241419999298563,0.937980067073928
"Pp3c7_3290","PHYPA_009844","A0A2K1KA60","Pp3c7_3290","(1 of 3) PTHR24078//PTHR24078:SF240 - DNAJ HOMOLOG SUBFAMILY C MEMBER","Uncharacterized protein","GO:0005524; GO:0005737; GO:0009408; GO:0016020; GO:0031072; GO:0042026; GO:0046872; GO:0051082; GO:0051085","chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to heat [GO:0009408]","cytoplasm [GO:0005737]; membrane [GO:0016020]","cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to heat [GO:0009408]","ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]",312.035187439009,-0.995537871579658,7.68686821631118e-07,306.140604004916,-1.03234922745493,1.2284711658105e-05,425.013907902855,0.00012684914756763,0.999993322508911,195.833102895587,-0.0177229763870703,0.954864578814943
"Pp3c4_27990","PHYPA_006847","A0A2K1KQA0","Pp3c4_27990","(1 of 5) PTHR19375//PTHR19375:SF147 - HEAT SHOCK PROTEIN 70KDA","Uncharacterized protein","GO:0005524; GO:0005737; GO:0009507; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051082; GO:0051085; GO:0140662","chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","chloroplast [GO:0009507]; cytoplasm [GO:0005737]","chloroplast [GO:0009507]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]",1874.93203260428,6.1836909551816,6.87504452072422e-184,2304.7307568633,6.76788891173558,4.13090216699744e-215,46.9286916897478,-0.00291226772281333,0.999993322508911,4079.44852240582,0.262807807496001,0.129796351505536
"Pp3c11_1010","PHYPA_014428","A9S0A3","Pp3c11_1010","(1 of 7) PTHR19375:SF232 - MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 37E-RELATED","Uncharacterized protein","GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051085; GO:0140662","chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]",540.165129591167,1.87389390749161,2.43086167440218e-34,353.813776377481,1.32822107174304,2.94452654558282e-06,213.164152273184,-0.00481240709577578,0.999993322508911,672.218968777608,-0.635089474113308,0.000152374958725855
"Pp3c12_9300","PHYPA_016026","A9SLL3","Pp3c12_9300","(1 of 2) PTHR19375:SF229 - HEAT SHOCK 70 KDA PROTEIN 5","Uncharacterized protein","GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051085; GO:0140662","chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]",369.456452366179,6.6533031890265,1.42595432040131e-77,322.778106167858,6.93664452192,5.3014192178986e-45,6.13808707775398,-0.00104709922050676,0.999993322508911,676.225874339311,-0.0629529761266843,0.810442531677775
"Pp3c12_25160","PHYPA_016741","A9T2E1","Pp3c12_25160","(1 of 11) PTHR10772 - 10 KDA HEAT SHOCK PROTEIN","Chaperonin 10","GO:0005524; GO:0005759; GO:0044183; GO:0046872; GO:0051082; GO:0051085; GO:0051087","chaperone cofactor-dependent protein refolding [GO:0051085]","mitochondrial matrix [GO:0005759]","mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]","ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]",1211.96359045651,1.0908575545019,1.39619879481125e-06,956.168209880795,0.590498068841324,0.0148829535987418,751.876797677895,-0.00045810926145884,0.999993322508911,1403.61676501297,-0.370077793325903,0.0675147032169239
"Pp3c10_17310","PHYPA_014013","A9T7Y9","Pp3c10_17310","(1 of 1) PTHR19375//PTHR19375:SF228 - HEAT SHOCK PROTEIN 70KDA","Uncharacterized protein","GO:0005524; GO:0005634; GO:0005737; GO:0005788; GO:0016020; GO:0016887; GO:0030433; GO:0030968; GO:0031072; GO:0034663; GO:0042026; GO:0044183; GO:0051085; GO:0140662","chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; protein refolding [GO:0042026]; ubiquitin-dependent ERAD pathway [GO:0030433]","cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; membrane [GO:0016020]; nucleus [GO:0005634]","cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; membrane [GO:0016020]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; protein refolding [GO:0042026]; ubiquitin-dependent ERAD pathway [GO:0030433]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]",8961.14247740611,1.0368671511178,3.7479848288364e-11,7014.92425444815,0.733298699323318,5.55036611829477e-08,5564.61005677009,-0.00766602176024782,0.999993322508911,10317.9728353498,-0.392766721360516,0.0029620616458737
"Pp3c4_21500","PHYPA_006565","A9TRK2","Pp3c4_21500","(1 of 2) PTHR19375:SF229 - HEAT SHOCK 70 KDA PROTEIN 5","Uncharacterized protein","GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051085; GO:0140662","chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]",814.015732221404,6.04029197126659,2.45500148604108e-20,490.716809534301,7.30768190066128,3.98899285012562e-77,14.471505662494,-0.00471504150040289,0.552773924485219,1269.05441039376,-0.621132369412742,0.000491417519003104
"Pp3c3_26590","PHYPA_005007","A9TWR9","Pp3c3_26590","(1 of 7) PTHR19375:SF232 - MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 37E-RELATED","Uncharacterized protein","GO:0005524; GO:0005737; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051085; GO:0140662","chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]",1016.34458637106,1.82889997656175,1.09626442232084e-15,750.71877325414,2.10579802972895,4.39152641219437e-22,359.973746057865,-0.013468460054669,0.629182854047576,1389.49241971259,-0.278598846876787,0.111240201694363
