"","Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"Pp3c12_16500","PHYPA_016367","A9TX19","Pp3c12_16500","(1 of 71) 1.11.1.7 - Peroxidase / Lactoperoxidase","Peroxidase (EC 1.11.1.7)","GO:0004601; GO:0005576; GO:0006979; GO:0009505; GO:0020037; GO:0042744; GO:0046872; GO:0140825","hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]","extracellular region [GO:0005576]; plant-type cell wall [GO:0009505]","extracellular region [GO:0005576]; plant-type cell wall [GO:0009505]; heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]","heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]",89.7699671830469,-0.00888523581938362,0.981518298575961,33.8497861957147,-3.05393350753406,0.000256970424021911,76.9531997751868,-0.00188234310032278,0.999993322508911,46.3620760833976,-3.82956755393694,1.9312649928884e-13
"Pp3c5_19400","PHYPA_007882","A0A2K1KKB0","Pp3c5_19400","","Uncharacterized protein","","","","","",73.6572780417469,0.00940230538031963,0.981573680575284,17.8904517129095,-1.88752529457847,0.00184871058633532,52.0150999208159,-1.05330313639855,0.0357779044380284,39.1996663509433,-3.41220630879761,1.00172011607915e-12
"Pp3c18_17700","PHYPA_023262","A0A2K1J1G4","Pp3c18_17700","","Uncharacterized protein","GO:0016020","","membrane [GO:0016020]","membrane [GO:0016020]","",2291.91910229706,-0.845720995386204,4.16405585322317e-06,1131.2950005824,-3.73965315486342,7.97961436997726e-103,2575.27855447888,-0.0323979885715937,0.239582278963414,859.123763754107,-3.31299459999167,1.343156476364e-79
"Pp3c18_17710","PHYPA_023263","A0A2K1J1F7","Pp3c18_17710","","Uncharacterized protein","","","","","",2338.26231562856,-0.880418599620331,1.82312860526474e-06,1138.41463712988,-3.54393758974871,3.82026944316624e-83,2614.58345935033,-0.37221422162633,0.143523663343341,873.36692094201,-3.12886595042557,9.48936825969382e-67
"Pp3s375_10","PHYPA_031192","A0A2K1I9T5","Pp3s375_10","(1 of 7) PTHR11817:SF5 - PYRUVATE KINASE-RELATED","Pyruvate kinase (EC 2.7.1.40)","GO:0000287; GO:0004743; GO:0005524; GO:0016301; GO:0016310; GO:0030955","phosphorylation [GO:0016310]","","ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; phosphorylation [GO:0016310]","ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]",341.390464955928,-1.11595042589017,5.40451817868621e-08,39.7716561261015,-0.993498857111734,0.00694897863594234,266.830491379359,-3.04792776535689,6.7167061239978e-34,114.271182275856,-3.04156557673491,2.31808975506891e-27
"Pp3c9_1490","PHYPA_012120","A0A2K1K1K5","Pp3c9_1490","(1 of 7) PTHR11817:SF5 - PYRUVATE KINASE-RELATED","Pyruvate kinase (EC 2.7.1.40)","GO:0000287; GO:0004743; GO:0005524; GO:0005737; GO:0006096; GO:0016301; GO:0016310; GO:0030955","glycolytic process [GO:0006096]; phosphorylation [GO:0016310]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]","ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]",117.671745870328,-0.743871690783012,0.00451491522413878,17.0238843756074,-0.611082846644342,0.117725650067866,88.4058300969689,-2.58043481881134,1.08213588004112e-11,46.1081049393463,-2.89201777312279,4.5964564996093e-12
"Pp3c5_22500","PHYPA_008032","A0A2K1KKQ7","Pp3c5_22500","","Uncharacterized protein","GO:0016020","","membrane [GO:0016020]","membrane [GO:0016020]","",106.093563995997,-0.559590562722547,0.114616067378266,15.3821562917933,-0.284647291014514,0.249106034457459,82.9790356244423,-0.00769575946471143,0.0128206631602494,38.3798502868751,-2.85915275682935,1.52540589120834e-09
"Pp3c19_15950","PHYPA_024187","A0A2K1IYL8","Pp3c19_15950","(1 of 6) KOG2209 - Oxysterol-binding protein","Oxysterol-binding protein","GO:0005829; GO:0015248; GO:0016020; GO:0032934; GO:0043231","","cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]","cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]","sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]",83.3756209031513,-0.529186779663829,0.0367864944025124,24.1625927393872,-1.81024030650538,0.00379457053536844,71.4225590592577,-0.0112382092619231,0.130278079921023,36.0516702961554,-2.76493605137736,5.29702322306727e-10
"Pp3c4_6620","PHYPA_005854","A9SZR0","Pp3c4_6620","(1 of 16) 2.7.1.107 - Diacylglycerol kinase (ATP) / Diglyceride kinase","Uncharacterized protein","","","","","",719.234573494798,-1.31806539310367,1.40909735639781e-06,412.856237865941,-3.68278603468276,1.74463969512259e-20,917.567522730647,-0.00474141674947969,0.999993322508911,220.383093171676,-2.724198273092,2.71731524176004e-25
"Pp3c13_12890","PHYPA_017299","A0A2K1JLR7","Pp3c13_12890","(1 of 17) PF04674 - Phosphate-induced protein 1 conserved region (Phi_1)","Uncharacterized protein","GO:0005615","","extracellular space [GO:0005615]","extracellular space [GO:0005615]","",421.679895880957,-0.272707983321224,0.207793979713886,149.738271620435,-1.89267616230759,2.40297380435128e-08,358.99191066814,-0.0196824047801572,0.0726022911277401,211.954770717863,-2.56914961834731,2.21449462658792e-33
