"","Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"Pp3c19_14230","PHYPA_024115","A0A2K1IYF0","Pp3c19_14230","(1 of 13) PTHR11527:SF172 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 2","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",1402.66195348447,4.87510079830056,9.05576951687324e-149,1519.18885148618,4.95541230935785,1.17530960083209e-34,92.3134726021382,8.4541115525262e-05,0.999993322508911,2792.3776142633,0.0935858096603037,0.694543537652483
"Pp3c19_22640","PHYPA_024439","A0A2K1IZB6","Pp3c19_22640","(1 of 13) PTHR11527:SF172 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 2","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",858.844762798774,3.911369486288,1.28000532920411e-101,777.304059784075,4.00460460245973,4.75458181926977e-89,99.136604973019,-0.00423316546782898,0.999993322508911,1515.98106370568,-0.072880000406465,0.758925036444652
"Pp3c12_22440","PHYPA_016601","A0A2K1JRQ9","Pp3c12_22440","(1 of 3) PTHR11528:SF41 - HEAT SHOCK PROTEIN 89.1","Histidine kinase/HSP90-like ATPase domain-containing protein","GO:0005524; GO:0005829; GO:0005886; GO:0006457; GO:0016887; GO:0032991; GO:0034605; GO:0048471; GO:0050821; GO:0051082; GO:0140662","cellular response to heat [GO:0034605]; protein folding [GO:0006457]; protein stabilization [GO:0050821]","cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]","cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; protein folding [GO:0006457]; protein stabilization [GO:0050821]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]",943.599803981683,-0.618073926269019,0.00430562923099465,998.722055972824,-1.20176242695214,0.00184871058633532,1324.76440331132,0.00387230579205966,0.999993322508911,626.014990523857,-0.204902342752613,0.357325185014592
"Pp3c11_25670","PHYPA_015577","A0A2K1JWA5","Pp3c11_25670","(1 of 2) KOG0879//KOG0880 - U-snRNP-associated cyclophilin type peptidyl-prolyl cis-trans isomerase // Peptidyl-prolyl cis-trans isomerase","Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)","GO:0000413; GO:0003755; GO:0005737; GO:0006457; GO:0016018","protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]","cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]",97.5353449119726,-1.42634698023215,1.03709841999739e-07,87.231823584768,-1.05725963109928,0.00314381601184994,135.082867311173,-0.00457795212198008,0.999993322508911,50.6226959855952,0.0150918362845694,0.956221333811385
"Pp3c8_8490","PHYPA_011310","A0A2K1K6K9","Pp3c8_8490","(1 of 6) PTHR11527:SF158 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 1-RELATED","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",1025.48122137012,5.02378740092334,3.35241045358605e-98,1139.435185336,5.80180579187751,2.92873800181152e-144,50.7816611243836,-0.00573714482488173,0.999993322508911,2086.68886584135,0.14447577281747,0.462557935652836
"Pp3c7_2790","PHYPA_009819","A0A2K1KA24","Pp3c7_2790","(1 of 6) PTHR11071:SF11 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE C","Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)","GO:0000413; GO:0003755; GO:0005737; GO:0006457; GO:0016018; GO:0016020","protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]","cytoplasm [GO:0005737]; membrane [GO:0016020]","cytoplasm [GO:0005737]; membrane [GO:0016020]; cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]","cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]",343.18907627854,1.0718232469718,1.30671040164108e-09,315.943256156322,0.624155460917102,0.00187734235605263,232.780147463863,0.00753940320702474,0.999993322508911,423.064277490782,-0.152903296827264,0.472384400136727
"Pp3c6_3710","PHYPA_008459","A0A2K1KE82","Pp3c6_3710","(1 of 13) PTHR11527:SF172 - 17.6 KDA CLASS I HEAT SHOCK PROTEIN 2","SHSP domain-containing protein","GO:0006457; GO:0009408; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259","protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to salt stress [GO:0009651]","protein self-association [GO:0043621]; unfolded protein binding [GO:0051082]",76.485925738553,3.17160073427619,1.44454687450978e-16,78.599908557676,4.9419448143885,3.96937136030964e-24,9.80823498771406,-0.004584668118561,0.758405338387107,143.489219172367,0.0584523037777069,0.824724280569657
"Pp3c5_3740","PHYPA_007201","A0A2K1KIA9","Pp3c5_3740","(1 of 2) PTHR20922:SF15 - A_TM021B04.14 PROTEIN","DNL-type domain-containing protein","GO:0005739; GO:0006457; GO:0008270; GO:0030150; GO:0050821; GO:0051087","protein folding [GO:0006457]; protein import into mitochondrial matrix [GO:0030150]; protein stabilization [GO:0050821]","mitochondrion [GO:0005739]","mitochondrion [GO:0005739]; protein-folding chaperone binding [GO:0051087]; zinc ion binding [GO:0008270]; protein folding [GO:0006457]; protein import into mitochondrial matrix [GO:0030150]; protein stabilization [GO:0050821]","protein-folding chaperone binding [GO:0051087]; zinc ion binding [GO:0008270]",1031.14658100237,1.15164030266184,2.23243798428422e-14,1172.97924147164,1.41205796777173,9.86796483708523e-21,639.761681349985,0.000870484136764833,0.999993322508911,1552.12837583891,0.234410853445349,0.136852760983234
"Pp3c5_4250","PHYPA_007227","A0A2K1KIE5","Pp3c5_4250","(1 of 2) PTHR13009//PTHR13009:SF5 - HEAT SHOCK PROTEIN 90  HSP90  CO-CHAPERONE AHA-1","Activator of Hsp90 ATPase AHSA1-like N-terminal domain-containing protein","GO:0001671; GO:0005829; GO:0006457; GO:0032781; GO:0051087","positive regulation of ATP-dependent activity [GO:0032781]; protein folding [GO:0006457]","cytosol [GO:0005829]","cytosol [GO:0005829]; ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]; positive regulation of ATP-dependent activity [GO:0032781]; protein folding [GO:0006457]","ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]",700.319770272894,1.3424192987382,9.3363324465748e-14,506.500774481254,1.12997087387235,5.47151857620577e-10,354.265985945778,-0.0189579267370434,0.964488546806393,843.230022644374,-0.396508747323483,0.0476942032282069
"Pp3c4_810","PHYPA_005588","A0A2K1KLP0","Pp3c4_810","(1 of 3) PTHR11528:SF41 - HEAT SHOCK PROTEIN 89.1","Histidine kinase/HSP90-like ATPase domain-containing protein","GO:0005524; GO:0005829; GO:0005886; GO:0006457; GO:0016887; GO:0032991; GO:0034605; GO:0048471; GO:0050821; GO:0051082; GO:0140662","cellular response to heat [GO:0034605]; protein folding [GO:0006457]; protein stabilization [GO:0050821]","cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]","cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; protein folding [GO:0006457]; protein stabilization [GO:0050821]","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]",4114.13203262582,1.91453461459289,4.00200102852271e-27,3608.98356270272,0.936935837671438,0.00152277543669614,2049.00434126247,0.00881178595674632,0.999993322508911,5613.43547182701,-0.302569854551148,0.102905517606978
