"","Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"Pp3c1_41710","PHYPA_001922","A0A2K1LBU0","Pp3c1_41710","(1 of 2) PTHR11214//PTHR11214:SF141 - BETA-1,3-N-ACETYLGLUCOSAMINYLTRANSFERASE","Hexosyltransferase (EC 2.4.1.-)","GO:0000139; GO:0006486; GO:0016758","protein glycosylation [GO:0006486]","Golgi membrane [GO:0000139]","Golgi membrane [GO:0000139]; hexosyltransferase activity [GO:0016758]; protein glycosylation [GO:0006486]","hexosyltransferase activity [GO:0016758]",7.73147313530671,-0.176285839037863,0.4612314469001,65.6799094284482,0.0433076873581228,0.912066031800274,37.0655230948255,2.40768338970281,0.000772765343418489,36.7248348078724,3.55434977959518,8.83223370988313e-12
"Pp3c15_13950","PHYPA_019722","A9SQM2","Pp3c15_13950","(1 of 3) PTHR31235:SF11 - PEROXIDASE 21","Peroxidase (EC 1.11.1.7)","GO:0005576; GO:0006979; GO:0020037; GO:0042744; GO:0046872; GO:0140825","hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]","extracellular region [GO:0005576]","extracellular region [GO:0005576]; heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]","heme binding [GO:0020037]; lactoperoxidase activity [GO:0140825]; metal ion binding [GO:0046872]",20.9135321856898,-1.37363242523561,0.0137114192800155,99.0102419430666,-0.188697135045114,0.558241279728043,74.9310709741591,1.57528341316293,0.00556641819281937,45.9994525374927,2.98893312020239,4.20311987344847e-07
"Pp3c21_13440","PHYPA_026115","A9SXC8","Pp3c21_13440","(1 of 2) PTHR35764:SF1 - SHORTAGE IN CHIASMATA 1","Uncharacterized protein","GO:0000712","resolution of meiotic recombination intermediates [GO:0000712]","","resolution of meiotic recombination intermediates [GO:0000712]","",11.3535983767978,0.0313786790805197,0.919723350992572,64.161516328216,0.348823298232369,0.27251832758477,31.7445405471324,1.9330495923293,0.00942385707750862,43.9996398106272,2.59105228167778,1.03760772808129e-10
"Pp3c2_29750","PHYPA_003396","A0A2K1L3L1","Pp3c2_29750","(1 of 4) PF07911 - Protein of unknown function (DUF1677) (DUF1677)","Uncharacterized protein","","","","","",24.6090956284438,-2.7604792939305,3.25366422801987e-06,70.9503012988935,-1.35470133163366,0.000707344298640631,75.8905425051916,0.959730070121286,0.0815177259567195,20.7219903721088,2.49373664870155,5.49823871511736e-05
"Pp3c3_12530","PHYPA_004348","A9T3X7","Pp3c3_12530","(1 of 33) 4.1.1.39 - Ribulose-bisphosphate carboxylase / RuBP carboxylase","Ribulose bisphosphate carboxylase small subunit, chloroplastic (RuBisCO small subunit)","GO:0009507; GO:0009853; GO:0016984; GO:0019253","photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]","chloroplast [GO:0009507]","chloroplast [GO:0009507]; ribulose-bisphosphate carboxylase activity [GO:0016984]; photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]","ribulose-bisphosphate carboxylase activity [GO:0016984]",52.8364164118697,1.93320503042171,3.37480730769811e-05,349.467817350616,1.83389999999221,6.65493887928873e-05,80.0457578810163,2.6720277567462,3.2156865191121e-07,320.999304598258,2.44730215982958,0.000276681966595907
"Pp3c25_6990","PHYPA_029692","A0A2K1IE47","Pp3c25_6990","(1 of 3) 2.4.1.15//3.1.3.12 - Alpha,alpha-trehalose-phosphate synthase (UDP-forming) / UDP-glucose--glucose-phosphate glucosyltransferase // Trehalose-phosphatase / Trehalose 6-phosphate phosphatase","Uncharacterized protein","GO:0003825; GO:0005992; GO:0070413","trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to stress [GO:0070413]","","alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to stress [GO:0070413]","alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]",35.1982933506132,-1.43471396003393,0.000588391582184874,117.48281438574,-0.419263859856729,0.0990289254637118,97.363276826313,1.26491562430322,0.00034352375859627,56.357553383612,2.43632532196627,3.29855869510894e-12
"Pp3c25_6760","PHYPA_029687","A9SKM5","Pp3c25_6760","","VQ domain-containing protein","","","","","",34.0159157997998,0.225960892136079,0.462358959665888,147.017463946854,1.2592931604417,9.95299977624778e-06,56.7622217160671,1.34002882090304,0.00390012986577633,124.203942040974,2.4005488488727,7.58717866761496e-19
"Pp3c22_10630","PHYPA_026986","A0A2K1IN22","Pp3c22_10630","(1 of 16) PF00069//PF00560//PF08263//PF13855 - Protein kinase domain (Pkinase)  // Leucine Rich Repeat (LRR_1)  // Leucine rich repeat N-terminal domain (LRRNT_2)  // Leucine rich repeat (LRR_8)","Protein kinase domain-containing protein","GO:0004672; GO:0005524; GO:0005886; GO:0006468","protein phosphorylation [GO:0006468]","plasma membrane [GO:0005886]","plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein phosphorylation [GO:0006468]","ATP binding [GO:0005524]; protein kinase activity [GO:0004672]",13.3714577422632,-0.20959194955933,0.412443060197929,65.0614806068293,-0.0982450449738163,0.766797160112032,45.3057670442969,1.66140934652893,0.0367240137550359,33.6335694752687,2.3678320405912,0.000102476266390022
"Pp3c10_15970","PHYPA_013948","A0A2K1JZ72","Pp3c10_15970","(1 of 2) PTHR11017//PTHR11017:SF163 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN","TIR domain-containing protein","GO:0006952; GO:0007165; GO:0043531","defense response [GO:0006952]; signal transduction [GO:0007165]","","ADP binding [GO:0043531]; defense response [GO:0006952]; signal transduction [GO:0007165]","ADP binding [GO:0043531]",14.0490745777338,-0.136587265083352,0.61342711180056,50.2826004090059,0.344027698061309,0.294003999817738,28.4580743714292,0.00787262089788665,0.46461781943714,36.0079568243488,2.30124665204711,1.00256528072334e-06
"Pp3c25_4320","PHYPA_029566","A0A2K1IDR2","Pp3c25_4320","(1 of 3) 1.3.1.22 - 3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+)) / Cholestenone 5-alpha-reductase","Steroid 5-alpha reductase C-terminal domain-containing protein","GO:0006629; GO:0016020; GO:0016627","lipid metabolic process [GO:0006629]","membrane [GO:0016020]","membrane [GO:0016020]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; lipid metabolic process [GO:0006629]","oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]",84.932583020173,0.894589544440979,0.00121502052522622,341.841194614428,1.0871306862534,0.000158470074775599,134.163311195321,1.83352449401048,1.5240024257937e-10,292.303915320525,2.04253268159911,1.33138244713682e-14
