"Gene.Names","Entry","phytoID","phytoAnnotation","Protein.names","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","WT 32C vs WT 20C (mean)","WT 32C vs WT 20C (lfc)","WT 32C vs WT 20C (padj)","TS 32C vs TS 20C (mean)","TS 32C vs TS 20C (lfc)","TS 32C vs TS 20C (padj)","TS 20C vs WT 20C (mean)","TS 20C vs WT 20C (lfc)","TS 20C vs WT 20C (padj)","TS 32C vs WT 32C (mean)","TS 32C vs WT 32C (lfc)","TS 32C vs WT 32C (padj)"
"PHYPA_000402","A0A2K1L7G6","Pp3c1_8740","(1 of 3) KOG1319 - bHLHZip transcription factor BIGMAX","BHLH domain-containing protein","GO:0003700; GO:0005634; GO:0006355; GO:0043565; GO:0046983","regulation of DNA-templated transcription [GO:0006355]","nucleus [GO:0005634]","nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; sequence-specific DNA binding [GO:0043565]; regulation of DNA-templated transcription [GO:0006355]","DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; sequence-specific DNA binding [GO:0043565]",231.445163211128,-0.17483152645083,0.467840677533853,78.9512216997305,-0.154573057786579,0.643024301610104,194.063683943571,-0.00833292692566905,0.124386543362704,116.09258183203,-1.10419313212154,0.000703688518727482
"PHYPA_000708","A0A2K1L8G0","Pp3c1_15530","(1 of 1) KOG2148 - Exocyst protein Sec3","Exocyst complex component Sec3 PIP2-binding N-terminal domain-containing protein","GO:0000145; GO:0005546; GO:0005886; GO:0006887; GO:0006893","exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]","exocyst [GO:0000145]; plasma membrane [GO:0005886]","exocyst [GO:0000145]; plasma membrane [GO:0005886]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]","phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]",64.5847608816881,-0.131279348482603,0.666883231936466,20.1616576765642,-0.18205926148989,0.491843360615125,49.5684095284459,-0.00678556586511113,0.413699960414772,34.9545571134187,-1.56178188166209,0.00792441344346576
"PHYPA_000780","A9S299","Pp3c1_18010","(1 of 8) PTHR10992:SF891 - STRIGOLACTONE ESTERASE D14 HOMOLOG-RELATED","AB hydrolase-1 domain-containing protein","","","","","",71.4550612411176,-0.293029795776591,0.323513479752625,35.4233815828078,-0.245652660118516,0.263628193139862,71.1479536182307,-0.000791786492643414,0.999993322508911,35.752683097932,-1.14362646509015,0.0190087790944146
"PHYPA_001053","A0A2K1L9B7","Pp3c1_23170","(1 of 4) PTHR31448:SF3 - IFA-BINDING PROTEIN","GTD-binding domain-containing protein","GO:0016020; GO:0080115","","membrane [GO:0016020]","membrane [GO:0016020]; myosin XI tail binding [GO:0080115]","myosin XI tail binding [GO:0080115]",174.069032009618,0.0508555491674744,0.87324500308486,120.974502659704,-1.11801041551989,0.000420725779357063,172.327134051489,0.000470980042932108,0.999993322508911,122.662354530264,-1.15742379377947,0.000317036405011485
"PHYPA_001297","A9RQ58","Pp3c1_28460","(1 of 36) 1.1.3.9 - Galactose oxidase / Beta-galactose oxidase","Galactose oxidase-like Early set domain-containing protein","","","","","",80.4474600306548,0.176238481197119,0.557516429702766,40.8743377466868,-0.524617324863382,0.143547621100617,63.8338224284495,-0.00778013898581579,0.999993322508911,57.1985363125877,-1.38917653705073,0.00144469344100466
"PHYPA_002897","A0A2K1L249","Pp3c2_18630","(1 of 3) PTHR23257:SF353 - KINASE-LIKE PROTEIN","Protein kinase domain-containing protein","GO:0004674; GO:0005524; GO:0006468","protein phosphorylation [GO:0006468]","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]",608.363789504232,0.0470716885925606,0.848086723477211,147.667787082813,0.0434998675296319,0.908671720554969,374.09507955358,-1.99468756567633,6.77614473108387e-20,377.823510176831,-1.97318171669374,8.67927177510849e-23
"PHYPA_003265","Q9AXI3","Pp3c2_27350","(1 of 17) PF10604 - Polyketide cyclase / dehydrase and lipid transport (Polyketide_cyc2)","Intracellular pathogenesis-related protein-like protein","GO:0004864; GO:0005634; GO:0005737; GO:0006952; GO:0009738; GO:0010427; GO:0038023; GO:0080163","abscisic acid-activated signaling pathway [GO:0009738]; defense response [GO:0006952]; regulation of protein serine/threonine phosphatase activity [GO:0080163]","cytoplasm [GO:0005737]; nucleus [GO:0005634]","cytoplasm [GO:0005737]; nucleus [GO:0005634]; abscisic acid binding [GO:0010427]; protein phosphatase inhibitor activity [GO:0004864]; signaling receptor activity [GO:0038023]; abscisic acid-activated signaling pathway [GO:0009738]; defense response [GO:0006952]; regulation of protein serine/threonine phosphatase activity [GO:0080163]","abscisic acid binding [GO:0010427]; protein phosphatase inhibitor activity [GO:0004864]; signaling receptor activity [GO:0038023]",1760.8239136335,-0.0128476631826056,0.975227938809481,441.579269341789,0.587230525194555,0.111225248374544,1048.07240858432,-0.0188844992945917,5.88192449108222e-06,1141.74670243814,-1.46396718832937,1.05181434528635e-06
"PHYPA_003921","A0A2K1KT23","Pp3c3_2660","(1 of 5) PTHR15598:SF5 - ENHANCER OF MRNA-DECAPPING PROTEIN 4","Enhancer of mRNA-decapping protein 4 WD40 repeat region domain-containing protein","GO:0000932; GO:0031087","deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]","P-body [GO:0000932]","P-body [GO:0000932]; deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]","",72.0871525427624,-0.416712794886864,0.196322605241597,24.4257960502816,-1.46450608166962,0.0137652191926887,65.6071582570085,-0.00640571923989754,0.666431263822009,30.9107773180904,-2.15939662827262,1.41438527438488e-05
"PHYPA_004062","A0A2K1KTH3","Pp3c3_5910","(1 of 7) PTHR14379 - LIMKAIN B  LKAP","HTH OST-type domain-containing protein","GO:0004540; GO:0005777; GO:0010468","regulation of gene expression [GO:0010468]","peroxisome [GO:0005777]","peroxisome [GO:0005777]; RNA nuclease activity [GO:0004540]; regulation of gene expression [GO:0010468]","RNA nuclease activity [GO:0004540]",709.231632096123,-0.227880099209751,0.442269498601259,335.358451549874,-0.379857714014734,0.221961442487556,607.52069876106,-0.0136576226737138,0.214375645287513,435.523779874217,-1.02088270086289,0.00118687300231618
"PHYPA_004096","A0A2K1KTI3","Pp3c3_6860","(1 of 18) PF02519 - Auxin responsive protein (Auxin_inducible)","Uncharacterized protein","GO:0009733","response to auxin [GO:0009733]","","response to auxin [GO:0009733]","",78.4042549497192,-0.0988100411323094,0.768848519382348,44.4620988610019,-1.03097599109336,0.0176100422554454,74.4552554693982,-0.00331661735370922,0.999993322508911,48.4025781857431,-1.34226478252247,0.000345629112204112
"PHYPA_004760","A0A2K1KVJ2","Pp3c3_21530","(1 of 4) PTHR23500:SF8 - MONOSACCHARIDE-SENSING PROTEIN 1","Major facilitator superfamily (MFS) profile domain-containing protein","GO:0016020; GO:0022857; GO:0055085","transmembrane transport [GO:0055085]","membrane [GO:0016020]","membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]","transmembrane transporter activity [GO:0022857]",1010.99549636805,0.00341686146499363,0.993067396620795,618.457404463865,-1.05356111680748,0.00211574442333346,948.605739165297,-0.00488067641984525,0.999993322508911,679.437330313837,-1.33409751056758,1.91113873265914e-07
"PHYPA_004807","A0A2K1KVK4","Pp3c3_22480","","Uncharacterized protein","GO:0016020","","membrane [GO:0016020]","membrane [GO:0016020]","",1750.36010628205,-0.54503055507284,0.00543145553570953,955.113944929454,-1.22069157710923,5.42194074092468e-07,1755.65756689423,-0.0205698935866852,0.30294153874906,952.252537644138,-1.25189021797623,5.01878304285446e-12
"PHYPA_004936","A0A2K1KVW8",NA,NA,"Galactose oxidase-like Early set domain-containing protein","","","","","",64.2772197597236,-0.169045532562754,0.579454798934021,25.5127934815003,-0.189914862677705,0.558510537616172,50.626303663576,-0.0131433833748381,0.113864735702665,38.974307444757,-1.19990342782255,0.00234970225193206
"PHYPA_005249","A0A2K1KWU0","Pp3c3_32050","(1 of 3) KOG2382 - Predicted alpha/beta hydrolase","AB hydrolase-1 domain-containing protein","GO:0080030; GO:0080032","","","methyl indole-3-acetate esterase activity [GO:0080030]; methyl jasmonate esterase activity [GO:0080032]","methyl indole-3-acetate esterase activity [GO:0080030]; methyl jasmonate esterase activity [GO:0080032]",501.584046813431,-0.81270052214362,0.0137820543426075,436.303072284546,-2.52957157372866,2.70118700872395e-27,717.443291597019,0.00213265212695721,0.999993322508911,225.730711636015,-1.32876406261878,4.8188435832974e-11
"PHYPA_005555","A0A2K1KXV3","Pp3c3_38210","","Uncharacterized protein","","","","","",539.787659596989,0.0817029066330928,0.789483889202348,338.30548328475,-0.897710869084187,5.98820713214978e-06,488.426294847766,-0.005166473393287,0.999993322508911,388.602829017946,-1.21434659339024,6.02200147647883e-12
