"a","Freq"
"protein phosphorylation [GO:0006468]",4
"regulation of photoperiodism, flowering [GO:2000028]",3
"anatomical structure morphogenesis [GO:0009653]",2
"carbohydrate metabolic process [GO:0005975]",2
"defense response to fungus [GO:0050832]",2
"fatty acid biosynthetic process [GO:0006633]",2
"fatty acid metabolic process [GO:0006631]",2
"signal transduction [GO:0007165]",2
"amine metabolic process [GO:0009308]",1
"brassinosteroid mediated signaling pathway [GO:0009742]",1
"calcium ion transmembrane transport [GO:0070588]",1
"cap-dependent translational initiation [GO:0002191]",1
"cell wall modification [GO:0042545]",1
"cellulose catabolic process [GO:0030245]",1
"cellulose microfibril organization [GO:0010215]",1
"formation of cytoplasmic translation initiation complex [GO:0001732]",1
"fructose metabolic process [GO:0006000]",1
"G1/S transition of mitotic cell cycle [GO:0000082]",1
"hydrogen peroxide catabolic process [GO:0042744]",1
"intracellular calcium ion homeostasis [GO:0006874]",1
"intracellular copper ion homeostasis [GO:0006878]",1
"lipid metabolic process [GO:0006629]",1
"pectin catabolic process [GO:0045490]",1
"phosphate ion transport [GO:0006817]",1
"phosphorylation [GO:0016310]",1
"plant-type cell wall organization [GO:0009664]",1
"positive regulation of DNA-templated transcription [GO:0045893]",1
"protein glycosylation [GO:0006486]",1
"regulation of DNA-templated transcription [GO:0006355]",1
"regulation of G2/M transition of mitotic cell cycle [GO:0010389]",1
"regulation of gene expression [GO:0010468]",1
"response to organic substance [GO:0010033]",1
"response to oxidative stress [GO:0006979]",1
"sexual reproduction [GO:0019953]",1
"translational initiation [GO:0006413]",1
"transmembrane transport [GO:0055085]",1
